business_id,promoter_credit_score,commercial_assets_value,bank_asset_value,gst_monthly_turnover_inr,gst_filing_regularity_score,upi_txn_frequency_monthly,upi_txn_volume_inr_monthly,epfo_contribution_consistency_months,aa_linked_accounts_count,financial_health_score,financial_health_category
1,778,17600000,8000000,1005830.0,100.0,68,915329.0,10.0,5,67.8,Good
2,417,2200000,3300000,,,10,289930.0,,3,32.0,Poor
3,506,4500000,12800000,848505.0,29.2,34,1116399.0,2.0,4,50.4,Fair
4,467,3300000,7900000,769411.0,7.4,11,,,3,45.0,Fair
5,382,8200000,5000000,930331.0,0.0,24,1109262.0,2.0,3,50.2,Fair
6,319,8300000,5100000,406774.0,0.0,9,444499.0,1.0,4,43.2,Fair
7,678,14800000,4300000,892069.0,66.8,40,854260.0,12.0,5,73.7,Good
8,382,5700000,6000000,505970.0,6.3,40,253547.0,0.0,4,35.6,Poor
9,782,800000,600000,,,1,45576.0,12.0,3,41.7,Fair
10,388,1400000,1600000,83407.0,16.9,2,58547.0,,2,38.7,Poor
11,547,4700000,3100000,,,1,326833.0,,4,51.5,Fair
12,538,5800000,6400000,573156.0,81.9,24,769732.0,2.0,2,42.8,Fair
13,311,9600000,4300000,437387.0,0.0,1,308358.0,1.0,3,32.5,Poor
14,679,16600000,5000000,832751.0,89.6,52,883915.0,2.0,3,63.7,Good
15,469,1200000,1900000,129796.0,49.7,3,141449.0,,2,48.8,Fair
16,794,3900000,4400000,379580.0,74.7,17,303034.0,12.0,4,53.6,Fair
17,663,100000,700000,,,2,15325.0,6.0,3,43.8,Fair
18,780,2800000,4300000,,,11,240598.0,,3,45.6,Fair
19,736,0,3300000,,,2,200550.0,8.0,1,49.6,Fair
20,652,3500000,5900000,501029.0,91.2,36,742068.0,10.0,4,52.6,Fair
21,315,1600000,6100000,433932.0,16.3,3,,0.0,4,44.1,Fair
22,530,11300000,5400000,,,37,473932.0,2.0,3,46.0,Fair
23,311,1700000,8500000,544246.0,0.0,6,697851.0,0.0,3,41.1,Excellent
24,551,600000,300000,31944.0,19.8,2,19294.0,6.0,3,36.3,Poor
25,324,8700000,3300000,410912.0,3.2,25,606120.0,,4,39.9,Poor
26,514,3100000,2600000,248541.0,61.8,7,165985.0,12.0,4,55.2,Fair
27,696,10600000,7200000,726576.0,44.2,16,939842.0,12.0,4,68.9,Good
28,662,4200000,2500000,194642.0,46.8,6,,,3,61.0,Good
29,336,11900000,9700000,620144.0,11.4,26,763006.0,,3,44.7,Fair
30,850,12400000,8000000,858331.0,80.8,38,829283.0,11.0,4,66.9,Good
31,313,5200000,9300000,887603.0,0.0,30,,0.0,3,44.2,Fair
32,363,7400000,4300000,535364.0,6.2,1,523038.0,4.0,4,44.0,Fair
33,436,200000,1000000,,,2,54336.0,0.0,4,37.0,Poor
34,830,3900000,5400000,711938.0,77.5,34,855578.0,,5,59.3,Fair
35,612,1200000,5800000,409656.0,69.8,10,251733.0,,3,45.0,Fair
36,691,2800000,900000,122896.0,47.3,8,237089.0,6.0,2,47.4,Fair
37,636,700000,1400000,118359.0,32.5,2,92570.0,6.0,2,51.7,Fair
38,348,300000,7100000,608883.0,0.0,8,686194.0,1.0,4,45.4,Fair
39,830,1300000,2900000,,,6,439499.0,,3,74.0,Good
40,352,200000,900000,,,2,71950.0,0.0,3,34.9,Poor
